t,Nt_1
0,100
1,289
2,448
3,571
4,666
5,745
6,797
7,837
8,864
9,882
10,895
11,899
12,911
13,925
14,935
15,932
16,935
17,945
18,944
19,952
20,945
21,944
22,944
23,944
24,953
25,956
26,954
27,937
28,931
29,928
30,907
31,881
32,878
33,889
34,893
35,872
36,858
37,874
38,886
39,867
40,863
41,848
42,827
43,823
44,823
45,803
46,810
47,819
48,807
49,771
50,739
51,737
52,748
53,777
54,779
55,766
56,748
57,746
58,710
59,676
60,693
61,705
62,700
63,724
64,703
65,712
66,695
67,677
68,660
69,649
70,646
71,625
72,603
73,619
74,567
75,550
76,553
77,560
78,553
79,562
80,546
81,501
82,462
83,458
84,465
85,442
86,457
87,472
88,452
89,452
90,451
91,416
92,397
93,397
94,375
95,354
96,352
97,346
98,340
99,339
100,328
101,327
102,313
103,301
104,318
105,312
106,319
107,305
108,266
109,270
110,276
111,282
112,269
113,258
114,252
115,240
116,224
117,209
118,215
119,223
120,211
121,218
122,214
123,196
124,206
125,206
126,203
127,188
128,181
129,177
130,179
131,182
132,176
133,156
134,173
135,176
136,170
137,188
138,169
139,154
140,140
141,152
142,148
143,147
144,153
145,147
146,150
147,139
148,135
149,130
150,112
151,105
152,100
153,104
154,120
155,116
156,110
157,109
158,102
159,105
160,100
161,90
162,98
163,112
164,112
165,108
166,111
167,126
168,122
169,133
170,135
171,137
172,128
173,111
174,117
175,119
176,125
177,127
178,119
179,116
180,106
181,112
182,122
183,126
184,139
185,140
186,146
187,170
188,185
189,197
190,198
191,194
192,186
193,173
194,175
195,162
196,156
197,175
198,168
199,149
200,140
201,153
202,151
203,168
204,180
205,182
206,170
207,174
208,180
209,172
210,195
211,207
212,221
213,212
214,208
215,229
216,213
217,206
218,215
219,217
220,214
221,231
222,221
223,220
224,238
225,249
226,239
227,232
228,238
229,239
230,253
231,261
232,265
233,261
234,254
235,248
236,235
237,238
238,261
239,277
240,292
241,309
242,310
243,294
244,307
245,283
246,295
247,309
248,321
249,318
250,322
251,298
252,276
253,255
254,241
255,255
256,260
257,274
258,258
259,264
260,257
261,241
262,228
263,227
264,232
265,212
266,214
267,198
268,180
269,183
270,190
271,181
272,173
273,183
274,174
275,168
276,177
277,174
278,172
279,164
280,162
281,164
282,173
283,186
284,198
285,197
286,210
287,212
288,211
289,217
290,223
291,213
292,235
293,230
294,227
295,237
296,227
297,230
298,225
299,215
300,239
301,239
302,222
303,224
304,229
305,225
306,216
307,206
308,217
309,218
310,215
311,214
312,217
313,202
314,210
315,210
316,209
317,211
318,193
319,210
320,223
321,217
322,235
323,232
324,253
325,238
326,235
327,251
328,231
329,239
330,245
331,220
332,216
333,208
334,207
335,202
336,188
337,176
338,170
339,162
340,171
341,172
342,171
343,168
344,177
345,169
346,162
347,143
348,153
349,163
350,171
351,161
352,157
353,162
354,169
355,157
356,152
357,159
358,140
359,131
360,121
361,129
362,135
363,145
364,159
365,177
366,175
367,167
368,145
369,135
370,131
371,144
372,145
373,127
374,126
375,133
376,124
377,123
378,122
379,129
380,143
381,130
382,123
383,115
384,116
385,112
386,117
387,121
388,129
389,117
390,116
391,135
392,125
393,123
394,117
395,118
396,132
397,129
398,126
399,135
400,132
401,154
402,162
403,164
404,168
405,167
406,178
407,206
408,196
409,193
410,202
411,206
412,205
413,178
414,179
415,171
416,172
417,167
418,176
419,205
420,214
421,215
422,236
423,228
424,216
425,218
426,228
427,231
428,208
429,201
430,214
431,220
432,222
433,217
434,216
435,218
436,229
437,224
438,220
439,223
440,216
441,195
442,193
443,202
444,221
445,228
446,240
447,234
448,257
449,260
450,268
451,267
452,290
453,304
454,296
455,304
456,303
457,306
458,286
459,294
460,328
461,295
462,319
463,317
464,330
465,317
466,320
467,319
468,303
469,300
470,307
471,295
472,283
473,288
474,290
475,288
476,276
477,258
478,242
479,247
480,227
481,205
482,207
483,210
484,218
485,209
486,221
487,242
488,244
489,222
490,209
491,204
492,220
493,229
494,208
495,206
496,193
497,189
498,195
499,194
500,195
501,204
502,205
503,221
504,225
505,215
506,205
507,203
508,189
509,193
510,200
511,200
512,188
513,183
514,166
515,170
516,183
517,179
518,187
519,198
520,194
521,176
522,164
523,157
524,154
525,157
526,156
527,161
528,154
529,168
530,166
531,168
532,175
533,182
