t,pt_1
0,1
1,0.99911
2,0.99663
3,0.99292
4,0.98826
5,0.98281
6,0.97684
7,0.97047
8,0.96383
9,0.95701
10,0.95006
11,0.94307
12,0.93596
13,0.92871
14,0.92136
15,0.91404
16,0.90669
17,0.89924
18,0.8918
19,0.88428
20,0.87683
21,0.86939
22,0.86195
23,0.85451
24,0.84698
25,0.83942
26,0.83188
27,0.82451
28,0.8172
29,0.80992
30,0.80285
31,0.79604
32,0.78926
33,0.78237
34,0.77544
35,0.76872
36,0.76214
37,0.7554
38,0.74854
39,0.74187
40,0.73524
41,0.72876
42,0.72249
43,0.71626
44,0.71003
45,0.704
46,0.6979
47,0.69171
48,0.68564
49,0.67993
50,0.67454
51,0.66917
52,0.66369
53,0.65792
54,0.65213
55,0.64647
56,0.64099
57,0.63553
58,0.63043
59,0.62567
60,0.62074
61,0.61569
62,0.61069
63,0.60545
64,0.60042
65,0.5953
66,0.59035
67,0.58558
68,0.58098
69,0.57649
70,0.57203
71,0.56778
72,0.56375
73,0.55956
74,0.55589
75,0.55239
76,0.54886
77,0.54526
78,0.54173
79,0.53811
80,0.53465
81,0.53164
82,0.52902
83,0.52644
84,0.52379
85,0.52137
86,0.5188
87,0.51608
88,0.51356
89,0.51104
90,0.50853
91,0.50637
92,0.5044
93,0.50243
94,0.50068
95,0.49914
96,0.49762
97,0.49616
98,0.49476
99,0.49337
100,0.49209
101,0.49082
102,0.48969
103,0.48868
104,0.4875
105,0.48638
106,0.48519
107,0.48414
108,0.48348
109,0.48278
110,0.48202
111,0.4812
112,0.48051
113,0.47993
114,0.47941
115,0.47901
116,0.47877
117,0.47868
118,0.47853
119,0.4783
120,0.47819
121,0.47801
122,0.47787
123,0.47791
124,0.47785
125,0.47779
126,0.47776
127,0.47788
128,0.47807
129,0.4783
130,0.47851
131,0.47869
132,0.47893
133,0.47937
134,0.47964
135,0.47988
136,0.48018
137,0.4803
138,0.48061
139,0.48107
140,0.48167
141,0.48215
142,0.48267
143,0.4832
144,0.48367
145,0.4842
146,0.4847
147,0.48531
148,0.48596
149,0.48666
150,0.48754
151,0.48849
152,0.48949
153,0.49045
154,0.49125
155,0.49209
156,0.49299
157,0.4939
158,0.49488
159,0.49583
160,0.49683
161,0.49793
162,0.49895
163,0.49983
164,0.50071
165,0.50163
166,0.50252
167,0.50326
168,0.50404
169,0.50471
170,0.50536
171,0.50599
172,0.50671
173,0.5076
174,0.50843
175,0.50924
176,0.50999
177,0.51072
178,0.51153
179,0.51237
180,0.51331
181,0.51419
182,0.51497
183,0.51571
184,0.51632
185,0.51692
186,0.51746
187,0.51776
188,0.51791
189,0.51794
190,0.51796
191,0.51802
192,0.51816
193,0.51843
194,0.51868
195,0.51906
196,0.5195
197,0.51975
198,0.52007
199,0.52058
200,0.52118
201,0.52165
202,0.52214
203,0.52246
204,0.52266
205,0.52284
206,0.52314
207,0.5234
208,0.5236
209,0.52388
210,0.52393
211,0.52386
212,0.52365
213,0.52353
214,0.52345
215,0.52316
216,0.52303
217,0.52297
218,0.52282
219,0.52265
220,0.52251
221,0.5222
222,0.52199
223,0.52179
224,0.52141
225,0.52092
226,0.52053
227,0.52021
228,0.51983
229,0.51944
230,0.51891
231,0.5183
232,0.51765
233,0.51704
234,0.5165
235,0.51602
236,0.51567
237,0.51529
238,0.51468
239,0.51391
240,0.51299
241,0.5119
242,0.5108
243,0.50986
244,0.50879
245,0.50796
246,0.50701
247,0.50592
248,0.50471
249,0.50353
250,0.50231
251,0.50133
252,0.50057
253,0.50002
254,0.49961
255,0.49906
256,0.49846
257,0.49772
258,0.49714
259,0.4965
260,0.49593
261,0.49552
262,0.49524
263,0.49497
264,0.49465
265,0.49453
266,0.49439
267,0.49441
268,0.49461
269,0.49478
270,0.49488
271,0.49507
272,0.49534
273,0.49551
274,0.49577
275,0.49609
276,0.49632
277,0.49658
278,0.49686
279,0.49722
280,0.4976
281,0.49796
282,0.49823
283,0.49837
284,0.49839
285,0.49842
286,0.49832
287,0.4982
288,0.49809
289,0.49792
290,0.49769
291,0.49756
292,0.49721
293,0.49691
294,0.49664
295,0.49627
296,0.496
297,0.4957
298,0.49545
299,0.4953
300,0.49491
301,0.49452
302,0.4943
303,0.49406
304,0.49377
305,0.49352
306,0.49336
307,0.4933
308,0.49313
309,0.49295
310,0.4928
311,0.49266
312,0.49249
313,0.49247
314,0.49237
315,0.49227
316,0.49218
317,0.49207
318,0.49214
319,0.49204
320,0.49181
321,0.49164
322,0.49129
323,0.49097
324,0.49044
325,0.49006
326,0.48971
327,0.4892
328,0.48889
329,0.4885
330,0.48805
331,0.48785
332,0.48769
333,0.48761
334,0.48754
335,0.48752
336,0.48764
337,0.48788
338,0.48818
339,0.48856
340,0.48885
341,0.48913
342,0.48942
343,0.48974
344,0.48997
345,0.49028
346,0.49066
347,0.49123
348,0.4917
349,0.49207
350,0.49236
351,0.49275
352,0.49318
353,0.49356
354,0.49387
355,0.4943
356,0.49478
357,0.49519
358,0.49579
359,0.49648
360,0.49727
361,0.49798
362,0.49863
363,0.49918
364,0.49959
365,0.49982
366,0.50007
367,0.5004
368,0.50095
369,0.5016
370,0.50229
371,0.50285
372,0.5034
373,0.50413
374,0.50487
375,0.50554
376,0.5063
377,0.50707
378,0.50785
379,0.50856
380,0.50913
381,0.50983
382,0.5106
383,0.51145
384,0.51229
385,0.51317
386,0.514
387,0.51479
388,0.5155
389,0.51633
390,0.51717
391,0.51782
392,0.51857
393,0.51934
394,0.52017
395,0.52099
396,0.52167
397,0.52238
398,0.52312
399,0.52377
400,0.52445
401,0.52491
402,0.52529
403,0.52565
404,0.52597
405,0.5263
406,0.52652
407,0.52646
408,0.5265
409,0.52657
410,0.52655
411,0.52649
412,0.52644
413,0.52666
414,0.52687
415,0.52716
416,0.52744
417,0.52777
418,0.52801
419,0.52796
420,0.52782
421,0.52767
422,0.52731
423,0.52703
424,0.52687
425,0.52669
426,0.52641
427,0.5261
428,0.52602
429,0.52601
430,0.52587
431,0.52567
432,0.52545
433,0.52528
434,0.52512
435,0.52494
436,0.52465
437,0.52441
438,0.52421
439,0.52398
440,0.52382
441,0.52387
442,0.52394
443,0.52392
444,0.52371
445,0.52343
446,0.52303
447,0.52269
448,0.52212
449,0.52152
450,0.52084
451,0.52017
452,0.51927
453,0.51823
454,0.51727
455,0.51623
456,0.5152
457,0.51414
458,0.51328
459,0.51234
460,0.51106
461,0.51011
462,0.50892
463,0.50775
464,0.50645
465,0.50528
466,0.50408
467,0.50289
468,0.50186
469,0.50086
470,0.49979
471,0.49884
472,0.49801
473,0.49713
474,0.49623
475,0.49535
476,0.49459
477,0.49401
478,0.49359
479,0.49312
480,0.49285
481,0.4928
482,0.49273
483,0.49263
484,0.49245
485,0.49236
486,0.49215
487,0.49173
488,0.49129
489,0.49107
490,0.49098
491,0.49094
492,0.49074
493,0.49045
494,0.49037
495,0.49031
496,0.49038
497,0.49049
498,0.49054
499,0.4906
500,0.49065
501,0.49061
502,0.49056
503,0.49035
504,0.4901
505,0.48995
506,0.4899
507,0.48987
508,0.48998
509,0.49005
510,0.49005
511,0.49005
512,0.49017
513,0.49034
514,0.49068
515,0.49098
516,0.49115
517,0.49136
518,0.49149
519,0.49151
520,0.49157
521,0.49181
522,0.49217
523,0.4926
524,0.49306
525,0.49349
526,0.49393
527,0.49432
528,0.49478
529,0.4951
530,0.49544
531,0.49576
532,0.49601
533,0.49619
534,0.49652
535,0.49703
536,0.49742
537,0.49796
538,0.49856
539,0.49923
540,0.49994
541,0.50064
542,0.50115
543,0.50178
544,0.50245
545,0.5032
546,0.50389
547,0.50455
548,0.50529
549,0.50593
550,0.5064
551,0.50692
552,0.50742
553,0.50783
554,0.50833
555,0.50874
556,0.50927
557,0.50978
558,0.51026
559,0.5108
560,0.51141
561,0.51202
562,0.51256
563,0.5131
564,0.51368
565,0.51419
566,0.5146
567,0.51525
568,0.51591
569,0.51655
570,0.51705
571,0.51764
572,0.51829
573,0.51882
574,0.51927
575,0.51973
576,0.52028
577,0.5207
578,0.52111
579,0.5215
580,0.52203
581,0.52227
582,0.52231
583,0.52236
584,0.52225
585,0.52213
586,0.52209
587,0.52194
588,0.52147
589,0.521
590,0.52052
591,0.52006
592,0.51946
593,0.51895
594,0.51834
595,0.51776
596,0.51712
597,0.51644
598,0.51574
599,0.51516
600,0.51479
601,0.51444
602,0.51411
603,0.51385
604,0.51357
605,0.51334
606,0.51303
607,0.51261
608,0.51217
609,0.51166
610,0.51117
611,0.51051
612,0.50995
613,0.50944
614,0.5088
615,0.50808
616,0.50728
617,0.50649
618,0.50557
619,0.50473
620,0.50392
621,0.5032
622,0.50252
623,0.50173
624,0.50098
625,0.50017
626,0.49934
627,0.49857
628,0.49783
629,0.49686
630,0.49571
631,0.49462
632,0.49351
633,0.49249
634,0.49166
635,0.49091
636,0.49025
637,0.48983
638,0.48951
639,0.48931
640,0.48905
641,0.48883
642,0.48863
643,0.4883
644,0.4882
645,0.48797
646,0.48767
647,0.48751
648,0.4874
649,0.48719
650,0.48709
651,0.48702
652,0.48693
653,0.48679
654,0.48676
655,0.48674
656,0.4866
657,0.48669
658,0.48672
659,0.48665
660,0.48668
661,0.48671
662,0.48659
663,0.48636
664,0.48623
665,0.48622
666,0.48626
667,0.48625
668,0.48614
669,0.48607
670,0.4858
671,0.48568
672,0.48561
673,0.48538
674,0.48534
675,0.48528
676,0.48539
677,0.48568
678,0.48594
679,0.48619
680,0.48643
681,0.4867
682,0.48719
683,0.48762
684,0.48799
685,0.48851
686,0.48897
687,0.48946
688,0.49009
689,0.49062
690,0.49111
691,0.49158
692,0.49221
693,0.49287
694,0.49334
695,0.49382
696,0.49414
697,0.49441
698,0.49475
699,0.49505
700,0.4954
701,0.49586
702,0.4963
703,0.49695
704,0.49785
705,0.49864
706,0.49945
707,0.50025
708,0.501
709,0.50163
710,0.50226
711,0.50275
712,0.50326
713,0.50366
714,0.50395
715,0.50431
716,0.5047
717,0.50505
718,0.50537
719,0.50541
720,0.50548
721,0.50559
722,0.50561
723,0.5056
724,0.50551
725,0.50545
726,0.50552
727,0.50554
728,0.50547
729,0.50528
730,0.50519
731,0.5051
732,0.50498
733,0.50503
734,0.5052
735,0.50541
736,0.50545
737,0.50532
738,0.50525
739,0.50522
740,0.5052
741,0.50511
742,0.50502
743,0.50464
744,0.50412
745,0.50386
746,0.50373
747,0.50357
748,0.50338
749,0.50307
750,0.50274
751,0.50244
752,0.50218
753,0.50192
754,0.50162
755,0.50114
756,0.50056
757,0.49995
758,0.49926
759,0.49845
760,0.49767
761,0.49683
762,0.49596
763,0.49515
764,0.49432
765,0.49353
766,0.49256
767,0.49164
768,0.49066
769,0.48977
770,0.48881
771,0.48792
772,0.48733
773,0.48677
774,0.48611
775,0.48558
776,0.48525
777,0.48482
778,0.48441
779,0.48381
780,0.48345
781,0.48326
782,0.48328
783,0.48346
784,0.48381
785,0.48399
786,0.48428
787,0.48459
788,0.48491
789,0.48514
790,0.48522
791,0.48536
792,0.48547
793,0.48545
794,0.48534
795,0.48549
796,0.48583
797,0.48622
798,0.48662
799,0.48714
800,0.48768
801,0.48822
802,0.4888
803,0.48932
804,0.48996
805,0.49072
806,0.49132
807,0.49202
808,0.49271
809,0.49327
810,0.49383
811,0.49448
812,0.49528
813,0.49588
814,0.49646
815,0.49707
816,0.49765
817,0.49809
818,0.49857
819,0.49911
820,0.49955
821,0.49992
822,0.50022
823,0.50062
824,0.50113
825,0.50156
826,0.50198
827,0.50241
828,0.5029
829,0.50325
830,0.50369
831,0.50415
832,0.50462
833,0.50519
834,0.50566
835,0.50615
836,0.50682
837,0.50764
838,0.50824
839,0.50876
840,0.50922
841,0.50964
842,0.50991
843,0.50995
844,0.51
845,0.51001
846,0.50997
847,0.50997
848,0.50985
849,0.50985
850,0.5098
851,0.5097
852,0.50965
853,0.50956
854,0.5094
855,0.50925
856,0.50907
857,0.50882
858,0.50861
859,0.50849
860,0.50844
861,0.5085
862,0.50839
863,0.50818
864,0.50803
865,0.50794
866,0.50799
867,0.50816
868,0.50824
869,0.50823
870,0.50809
871,0.50795
872,0.5079
873,0.5078
874,0.50792
875,0.50791
876,0.50776
877,0.5073
878,0.50658
879,0.50598
880,0.50558
881,0.50531
882,0.50522
883,0.50494
884,0.50472
885,0.50454
886,0.50445
887,0.50434
888,0.50426
889,0.50415
890,0.50392
891,0.50373
892,0.50346
893,0.50302
894,0.50272
895,0.50253
896,0.50224
897,0.50186
898,0.5018
899,0.5017
900,0.50175
901,0.50193
902,0.50223
903,0.50259
904,0.50291
905,0.50332
906,0.50364
907,0.50381
908,0.50408
909,0.50444
910,0.5047
911,0.50475
912,0.50495
913,0.50514
914,0.50525
915,0.5054
916,0.50532
917,0.50528
918,0.50514
919,0.50501
920,0.5051
921,0.50524
922,0.50544
923,0.50563
924,0.50574
925,0.50578
926,0.50562
927,0.50553
928,0.50553
929,0.50555
930,0.50535
931,0.50531
932,0.50533
933,0.50542
934,0.50573
935,0.50607
936,0.50616
937,0.50615
938,0.50607
939,0.50603
940,0.50595
941,0.50585
942,0.50557
943,0.50538
944,0.50537
945,0.50534
946,0.50518
947,0.50508
948,0.50509
949,0.505
950,0.50483
951,0.5046
952,0.50436
953,0.50416
954,0.50418
955,0.50419
956,0.50403
957,0.50388
958,0.50379
959,0.50348
960,0.50321
961,0.50282
962,0.50233
963,0.50184
964,0.50135
965,0.50084
966,0.5002
967,0.49949
968,0.49903
969,0.49863
970,0.49826
971,0.49785
972,0.49729
973,0.49677
974,0.49658
975,0.49622
976,0.49581
977,0.49571
978,0.49567
979,0.49561
980,0.49545
981,0.49531
982,0.49525
983,0.49501
984,0.49472
985,0.49445
986,0.49435
987,0.49419
988,0.49411
989,0.49396
990,0.49364
991,0.49325
992,0.49315
993,0.49324
994,0.49333
995,0.49339
996,0.49336
997,0.49332
998,0.49314
999,0.49302
