L,n_colors,NT,n_c,n_c_err,rho,k,Nsamples,source
512,4,50,2.741,0.023758861157123747,0.0001,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.0000e-04/data/process_names.txt
512,4,50,2.398,0.024661796451276703,0.0065077,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_6.5077e-03/data/process_names.txt
512,4,50,2.14,0.023726840560069577,0.012915,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.2915e-02/data/process_names.txt
512,4,50,1.774,0.023440850527945298,0.019323,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.9323e-02/data/process_names.txt
512,4,50,1.315,0.023839952670744617,0.025731,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_2.5731e-02/data/process_names.txt
512,4,50,0.796,0.02090025886970831,0.032138,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_3.2138e-02/data/process_names.txt
512,4,50,0.406,0.01677633587662829,0.038546,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_3.8546e-02/data/process_names.txt
512,4,50,0.108,0.009921412925306275,0.044954,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_4.4954e-02/data/process_names.txt
512,4,50,0.007,0.0026377941462437807,0.051362,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_5.1362e-02/data/process_names.txt
512,4,50,0.001,0.0010000000000000002,0.057769,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_5.7769e-02/data/process_names.txt
512,4,50,0.0,0.0,0.064177,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_6.4177e-02/data/process_names.txt
512,4,50,0.0,0.0,0.070585,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_7.0585e-02/data/process_names.txt
512,4,50,0.0,0.0,0.076992,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_7.6992e-02/data/process_names.txt
512,4,50,0.0,0.0,0.0834,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_8.3400e-02/data/process_names.txt
512,4,50,0.0,0.0,0.089808,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_8.9808e-02/data/process_names.txt
512,4,50,0.0,0.0,0.096215,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_9.6215e-02/data/process_names.txt
512,4,50,0.0,0.0,0.10262,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.0262e-01/data/process_names.txt
512,4,50,0.0,0.0,0.10903,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.0903e-01/data/process_names.txt
512,4,50,0.0,0.0,0.11544,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.1544e-01/data/process_names.txt
512,4,50,0.0,0.0,0.12185,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.2185e-01/data/process_names.txt
512,4,50,0.0,0.0,0.12825,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.2825e-01/data/process_names.txt
512,4,50,0.0,0.0,0.13466,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.3466e-01/data/process_names.txt
512,4,50,0.0,0.0,0.14107,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.4107e-01/data/process_names.txt
512,4,50,0.0,0.0,0.14748,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.4748e-01/data/process_names.txt
512,4,50,0.0,0.0,0.15388,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.5388e-01/data/process_names.txt
512,4,50,0.0,0.0,0.16029,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.6029e-01/data/process_names.txt
512,4,50,0.0,0.0,0.1667,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.6670e-01/data/process_names.txt
512,4,50,0.0,0.0,0.17311,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.7311e-01/data/process_names.txt
512,4,50,0.0,0.0,0.17952,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.7952e-01/data/process_names.txt
512,4,50,0.0,0.0,0.18592,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.8592e-01/data/process_names.txt
512,4,50,0.0,0.0,0.19233,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.9233e-01/data/process_names.txt
512,4,50,0.0,0.0,0.19874,0.0004,1000,../Data/bond_percolation/num_colors_4/dim_2/L_512/NT_constant/NT_50/k_4.0e-04/rho_1.9874e-01/data/process_names.txt
